date,adm_level,adm_id,PCODE,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version,district_name
2022-01-11,2,1011448,RW53,51.0,38.117645,21.72026,98.666664,78.88824,314.68628,306.1026,161.36685,123.57712,102.75911,final,Gatsibo
2022-01-21,2,1011448,RW53,51.0,23.313726,23.628757,77.21568,67.64967,270.4902,282.82614,98.8996,113.16731,95.714096,final,Gatsibo
2022-02-01,2,1011448,RW53,51.0,35.901962,24.501307,97.333336,69.85033,275.09802,262.26144,138.64458,136.71729,104.803,final,Gatsibo
2022-02-11,2,1011448,RW53,51.0,54.098038,28.305882,113.31373,76.43594,305.41174,252.02876,177.44025,145.28441,120.76927,final,Gatsibo
2022-02-21,2,1011448,RW53,51.0,39.64706,24.863398,129.64706,77.670586,307.47058,234.48889,149.50429,162.8718,130.47394,final,Gatsibo
2022-03-01,2,1011448,RW53,51.0,36.862743,43.901962,130.60785,97.07124,328.76468,248.89543,85.605446,132.85606,131.45753,final,Gatsibo
2022-03-11,2,1011448,RW53,51.0,40.72549,37.517647,117.23529,106.283005,329.2157,261.60718,107.54473,109.841835,125.35886,final,Gatsibo
2022-03-21,2,1011448,RW53,51.0,33.35294,55.683006,110.94118,137.10262,317.80392,282.42288,63.202106,81.58976,112.30975,final,Gatsibo
2022-04-01,2,1011448,RW53,51.0,22.333334,55.860783,96.411766,149.06143,324.35294,315.983,44.91124,65.82554,102.6076,final,Gatsibo
2022-04-11,2,1011448,RW53,51.0,73.09804,53.673203,128.7843,165.217,359.33337,347.93594,133.10683,78.59632,103.22932,final,Gatsibo
2022-04-21,2,1011448,RW53,51.0,102.15686,41.951633,197.58823,151.48563,438.17645,366.25882,228.22818,129.46124,119.37129,final,Gatsibo
2022-05-01,2,1011448,RW53,51.0,16.37255,39.54379,191.62744,135.16862,418.64706,381.3013,47.980984,140.2792,109.66753,final,Gatsibo
2022-05-11,2,1011448,RW53,51.0,11.3529415,29.101961,129.88235,110.59739,375.90195,382.09738,47.953083,116.68288,98.39951,final,Gatsibo
2022-05-21,2,1011448,RW53,51.0,67.27451,26.279085,95.0,94.924835,403.52942,383.51306,231.06339,100.07522,105.15205,final,Gatsibo
2022-06-01,2,1011448,RW53,51.0,3.3921568,9.005229,82.019615,64.38628,370.0588,348.61633,59.921593,125.4133,106.063774,final,Gatsibo
2022-06-11,2,1011448,RW53,51.0,2.0980392,4.385621,72.76471,39.669933,331.43137,315.4843,75.62674,174.08737,104.97593,final,Gatsibo
2022-06-21,2,1011448,RW53,51.0,2.0392158,3.2562091,7.5294123,16.647058,300.11765,263.05753,85.25966,57.880436,113.82544,final,Gatsibo
2022-07-01,2,1011448,RW53,51.0,1.372549,2.1594772,5.509804,9.801308,279.15686,209.3562,89.00858,71.00592,132.56294,final,Gatsibo
2022-07-11,2,1011448,RW53,51.0,0.98039216,1.3928105,4.392157,6.808497,207.0392,157.07582,93.54871,79.53728,130.82716,final,Gatsibo
2022-07-21,2,1011448,RW53,51.0,6.1764708,3.3673203,8.529412,6.919608,111.05882,118.4915,133.57289,113.50551,93.981224,final,Gatsibo
2022-08-01,2,1011448,RW53,51.0,8.039216,9.144444,15.196079,13.904575,102.725494,88.092155,92.18613,106.8317,115.7192,final,Gatsibo
2022-08-11,2,1011448,RW53,51.0,17.039215,10.684314,31.254902,23.19608,108.411766,69.67451,140.51756,128.58136,151.8748,final,Gatsibo
2022-08-21,2,1011448,RW53,51.0,28.588236,16.596079,53.666664,36.424835,69.725494,59.991505,155.52933,141.62196,114.97733,final,Gatsibo
2022-09-01,2,1011448,RW53,51.0,14.90196,24.369934,60.52941,51.650326,81.2353,75.35621,67.76305,115.67349,107.31628,final,Gatsibo
2022-09-11,2,1011448,RW53,51.0,23.843138,24.167974,67.333336,65.13399,102.9804,95.138565,98.88632,103.13592,107.830986,final,Gatsibo
2022-09-21,2,1011448,RW53,51.0,25.039215,24.611765,63.784313,73.14967,125.98039,116.49412,101.44352,88.01613,107.80801,final,Gatsibo
2022-10-01,2,1011448,RW53,51.0,23.039215,36.9366,71.92157,85.71634,147.64706,151.27124,66.86096,84.79351,97.68084,final,Gatsibo
